,hd-name,folder-name,file-name,video-name
28,April,Pa_sat_7dpf_GroupB_n1b_202104171803,Pa_sat_7dpf_GroupB_n1b_20210417_2021-04-17-180339-0000.raw,Pa_sat_7dpf_GroupB_n1b_20210417_2021-04-17-180339
29,April,pa_sat_7dpf_groupB_n1c_202104171803,pa_sat_7dpf_groupB_n1c_20210417_2021-04-17-150343-0000.raw,pa_sat_7dpf_groupB_n1c_20210417_2021-04-17-150343
30,April,Pa_sat_7dpf_GroupB_n1d_202104171803,Pa_sat_7dpf_GroupB_n1d_2021-04-17-180347-0000.raw,Pa_sat_7dpf_GroupB_n1d_2021-04-17-180347
31,April,pa_sat_7dpf_GroupB_n1e_202104171836,pa_sat_7dpf_GroupB_n1e_20210417_2021-04-17-183601-0000.raw,pa_sat_7dpf_GroupB_n1e_20210417_2021-04-17-183601
32,April,pa_sat_7dpf_groupB_n1f_202104171836,pa_sat_7dpf_groupB_n1f_20210417_2021-04-17-153605-0000.raw,pa_sat_7dpf_groupB_n1f_20210417_2021-04-17-153605
33,April,Pa_sat_7dpf_GroupB_n1g_202104171836,Pa_sat_7dpf_GroupB_n1g_20210417_2021-04-17-183608-0000.raw,Pa_sat_7dpf_GroupB_n1g_20210417_2021-04-17-183608
34,April,Pa_sat_7dpf_GroupB_n2g_202104171729,Pa_sat_7dpf_GroupB_n2g_20210417_2021-04-17-172950-0000.raw,Pa_sat_7dpf_GroupB_n2g_20210417_2021-04-17-172950
35,April,Pa_sat_7dpf_GroupB_n5h_202104171750,Pa_sat_7dpf_GroupB_n5h_20210417_2021-04-17-164940-0000.raw,Pa_sat_7dpf_GroupB_n5h_20210417_2021-04-17-164940
36,April,Pa_sat_7dpf_GroupB_n5i_202104171750,Pa_sat_7dpf_GroupB_n5i_2021-04-17-164947-0000.raw,Pa_sat_7dpf_GroupB_n5i_2021-04-17-164947
37,April,pa_wed_28dpf_groupA_n2b_202104281846,pa_wed_28dpf_groupA_n2b_2021-04-28-184332-0000.raw,pa_wed_28dpf_groupA_n2b_2021-04-28-184332
38,April,pa_wed_28dpf_groupA_n5_202104281846,pa_wed_groupA_n5_2021-04-28-145536-0000.raw,pa_wed_groupA_n5_2021-04-28-145536
39,April,pa_wed_28dpf_groupB_n2c_202104281549,pa_wed_28dpf_groupB_n2c_2021-04-28-154913-0000.raw,pa_wed_28dpf_groupB_n2c_2021-04-28-154913
40,April,pa_wed_28dpf_GroupC_n2_202104281415_PGM,pa_wed_28dpf_GroupC_n2_20210428_2021-04-28-111500-0000.pgm,pa_wed_28dpf_GroupC_n2_20210428_2021-04-28-111500_PGM
41,April,pa_wed_28dpf_GroupD_n2b_202104281636,pa_wed_28dpf_GroupD_n2b_2021-04-28-133556-0000.raw,pa_wed_28dpf_GroupD_n2b_2021-04-28-133556
42,April,pa_wed_28dpf_groupD_n2c_202104281712,pa_wed_28dpf_groupD_n2c_2021-04-28-171114-0000.raw,pa_wed_28dpf_groupD_n2c_2021-04-28-171114
43,April,pa_wed_28dpf_GroupD_n2d_202104281712,pa_wed_28dpf_GroupD_n2d_2021-04-28-141114-0000.raw,pa_wed_28dpf_GroupD_n2d_2021-04-28-141114
44,April,pa_wed_28dpf_groupD_n2_202104281636,pa_wed_28dpf_groupD_n2_2021-04-28-163601-0000.raw,pa_wed_28dpf_groupD_n2_2021-04-28-163601
45,EarlyMay,sf_wed_28dpf_groupB_n2_20210505,sf_wed_28dpf_groupB_n2_20210505_2021-05-05-135641-0000.raw,sf_wed_28dpf_groupB_n2_20210505_2021-05-05-135641
46,EarlyMay,sf_wed_28dpf_groupA_n2c_20210505,sf_wed_28dpf_groupA_n2c_20210505_2021-05-05-161434-0000.raw,sf_wed_28dpf_groupA_n2c_20210505_2021-05-05-161434
47,EarlyMay,sf_wed_28dpf_groupA_n2d_20210505,sf_wed_28dpf_groupA_n2d_20210505_2021-05-05-170344-0000.raw,sf_wed_28dpf_groupA_n2d_20210505_2021-05-05-170344
48,EarlyMay,sf_wed_28dpf_groupA_n2_20210505,sf_wed_28dpf_groupA_n2_20210505_2021-05-05-151335-0000.raw,sf_wed_28dpf_groupA_n2_20210505_2021-05-05-151335
49,EarlyMay,sf_wed_28dpf_groupA_n5_20210505,sf_wed_28dpf_groupA_n5_20210505_2021-05-05-151312-0000.raw,sf_wed_28dpf_groupA_n5_20210505_2021-05-05-151312
50,EarlyMay,sf_wed_28dpf_groupB_n2c_20210505,sf_wed_28dpf_groupB_n2_2021c0505_2021-05-05-143432-0000.raw,sf_wed_28dpf_groupB_n2_2021c0505_2021-05-05-143432
51,EarlyMay,sf_wed_28dpf_groupB_n5_20210505,sf_wed_28dpf_groupB_n5_20210505_2021-05-05-135619-0000.raw,sf_wed_28dpf_groupB_n5_20210505_2021-05-05-135619
52,EarlyMay,pa_sat_28dpf_groupA_n5b_20210508,pa_sat_28dpf_groupA_n5b_20210508_2021-05-08-101113-0000.pgm,pa_sat_28dpf_groupA_n5b_20210508_2021-05-08-101113
53,EarlyMay,pa_sat_28dpf_groupA_n5c_20210508,pa_sat_28dpf_groupA_n5b_20210508_2021-05-08-105254-0000.raw,pa_sat_28dpf_groupA_n5b_20210508_2021-05-08-105254
